file,text
data_anikait_16K/arctic_a0001.wav,"Author of the danger trail, Philip Steels, etc."
data_anikait_16K/arctic_a0002.wav,"Not at this particular case, Tom, apologized Whittemore."
data_anikait_16K/arctic_a0003.wav,For the twentieth time that evening the two men shook hands.
data_anikait_16K/arctic_a0004.wav,"Lord, but I'm glad to see you again, Phil."
data_anikait_16K/arctic_a0005.wav,Will we ever forget it.
data_anikait_16K/arctic_a0006.wav,"God bless 'em, I hope I'll go on seeing them forever."
data_anikait_16K/arctic_a0007.wav,And you always want to see it in the superlative degree.
data_anikait_16K/arctic_a0008.wav,"Gad, your letter came just in time."
data_anikait_16K/arctic_a0009.wav,"He turned sharply, and faced Gregson across the table."
data_anikait_16K/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game.
data_anikait_16K/arctic_a0011.wav,If I ever needed a fighter in my life I need one now.
data_anikait_16K/arctic_a0012.wav,Gregson shoved back his chair and rose to his feet.
data_anikait_16K/arctic_a0013.wav,"He was a head shorter than his companion, of almost delicate physique."
data_anikait_16K/arctic_a0014.wav,"Now you're coming down to business, Phil, he exclaimed."
data_anikait_16K/arctic_a0015.wav,It's the aurora borealis.
data_anikait_16K/arctic_a0016.wav,"There's Fort Churchill, a rifle-shot beyond the ridge, asleep."
data_anikait_16K/arctic_a0017.wav,From that moment his friendship for Belize turns to hatred and jealousy.
data_anikait_16K/arctic_a0018.wav,There was a change now.
data_anikait_16K/arctic_a0019.wav,"I followed the line of the proposed railroad, looking for chances."
data_anikait_16K/arctic_a0020.wav,Clubs and balls and cities grew to be only memories.
data_anikait_16K/arctic_a0021.wav,It fairly clubbed me into recognizing it.
data_anikait_16K/arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition.
data_anikait_16K/arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges.
data_anikait_16K/arctic_a0024.wav,It was my reports from the north which chiefly induced people to buy.
data_anikait_16K/arctic_a0025.wav,I was about to do this when cooler judgment prevailed.
data_anikait_16K/arctic_a0026.wav,It occurred to me that there would have to be an accounting.
data_anikait_16K/arctic_a0027.wav,To my surprise he began to show actual enthusiasm in my favor.
data_anikait_16K/arctic_a0029.wav,Their forces were already moving into the north country.
data_anikait_16K/arctic_a0030.wav,I had faith in them.
data_anikait_16K/arctic_a0031.wav,They were three hundred yards apart.
data_anikait_16K/arctic_a0032.wav,Since then some mysterious force has been fighting us at every step.
data_anikait_16K/arctic_a0033.wav,"He unfolded a long typewritten letter, and handed it to Gregson."
data_anikait_16K/arctic_a0034.wav,Men of Selden's stamp don't stop at women and children.
data_anikait_16K/arctic_a0035.wav,"He stopped, and Philip nodded at the horrified question in his eyes."
data_anikait_16K/arctic_a0036.wav,She turned in at the hotel.
data_anikait_16K/arctic_a0037.wav,I was the only one who remained sitting.
